coseq_kmeans	hclust	PrimaryStage	StageBias	Label
FBgn0015520	4	5	E1	E1	late_constraint
FBgn0015527	4	2	E3	broad	late_constraint
FBgn0015546	4	5	E2	E2	late_constraint
FBgn0015550	3	2	E3	E3	inverse_hourglass
FBgn0015575	3	3	E7	E7	inverse_hourglass
FBgn0015582	1	3	E4	E4	hourglass
FBgn0015589	5	3	E4	E4	uniform_high
FBgn0015600	5	4	E8	broad	uniform_high
FBgn0015609	3	2	E4	E4	inverse_hourglass
FBgn0015615	4	3	E2	E2	late_constraint
FBgn0015618	4	1	E2	E2	late_constraint
FBgn0015621	1	3	E2	E2	hourglass
FBgn0015623	2	4	E8	broad	early_constraint
FBgn0015625	4	5	E1	E1	late_constraint
FBgn0015664	4	4	E1	E1	late_constraint
FBgn0015721	3	5	E2	E2	inverse_hourglass
FBgn0015765	5	3	E8	E8	uniform_high
FBgn0015772	6	1	E4	broad	uniform_low
FBgn0015773	3	2	E4	E4	inverse_hourglass
FBgn0015776	6	5	E7	broad	uniform_low
FBgn0015789	6	2	E1	E1	uniform_low
FBgn0015790	6	4	E1	broad	uniform_low
FBgn0015791	2	2	E1	broad	early_constraint
FBgn0015794	1	3	E8	broad	hourglass
FBgn0015797	1	2	E4	broad	hourglass
FBgn0015799	3	1	E3	E3	inverse_hourglass
FBgn0015801	1	3	E8	E8	hourglass
FBgn0015803	5	1	E6	broad	uniform_high
FBgn0015805	6	1	E2	E2	uniform_low
FBgn0015808	4	2	E5	E5	late_constraint
FBgn0015818	4	5	E1	E1	late_constraint
FBgn0015828	1	5	E2	broad	hourglass
FBgn0015829	2	3	E2	broad	early_constraint
FBgn0015838	4	2	E3	E3	late_constraint
FBgn0015903	1	1	E2	broad	hourglass
FBgn0015924	1	3	E2	E2	hourglass
FBgn0015925	2	3	E1	E1	early_constraint
FBgn0015926	1	1	E1	E1	hourglass
FBgn0015929	4	5	E2	E2	late_constraint
FBgn0015949	1	1	E1	E1	hourglass
FBgn0016032	3	2	E5	E5	inverse_hourglass
FBgn0016034	6	1	E1	E1	uniform_low
FBgn0016038	2	2	E3	broad	early_constraint
FBgn0016041	6	1	E1	broad	uniform_low
FBgn0016070	1	5	E1	E1	hourglass
FBgn0016078	3	2	E1	E1	inverse_hourglass
FBgn0016081	3	3	E6	E6	inverse_hourglass
FBgn0016122	2	4	E4	E4	early_constraint
FBgn0016126	1	3	E5	broad	hourglass
FBgn0016131	1	1	E1	E1	hourglass
FBgn0016672	3	2	E2	broad	inverse_hourglass
FBgn0016693	3	2	E6	broad	inverse_hourglass
FBgn0016698	6	4	E1	E1	uniform_low
FBgn0016701	6	1	E7	broad	uniform_low
FBgn0016715	2	4	E7	E7	early_constraint
FBgn0016756	3	5	E5	broad	inverse_hourglass
FBgn0016762	4	1	E7	E7	late_constraint
FBgn0016794	5	3	E2	broad	uniform_high
FBgn0016797	3	2	E4	broad	inverse_hourglass
FBgn0016917	4	1	E1	broad	late_constraint
FBgn0016977	5	2	E3	broad	uniform_high
FBgn0016978	4	2	E3	E3	late_constraint
FBgn0016983	2	1	E1	E1	early_constraint
FBgn0017414	5	1	E3	E3	uniform_high
FBgn0017418	3	2	E5	broad	inverse_hourglass
FBgn0017429	6	2	E4	broad	uniform_low
FBgn0017482	6	1	E6	E6	uniform_low
FBgn0017551	1	1	E2	E2	hourglass
FBgn0017566	3	2	E6	E6	inverse_hourglass
FBgn0017567	6	2	E7	broad	uniform_low
FBgn0017577	4	2	E2	E2	late_constraint
FBgn0017578	6	1	E2	broad	uniform_low
FBgn0017581	3	2	E8	broad	inverse_hourglass
FBgn0019643	6	5	E7	E7	uniform_low
FBgn0019650	3	2	E4	E4	inverse_hourglass
FBgn0019686	1	5	E2	E2	hourglass
FBgn0019830	2	1	E5	broad	early_constraint
FBgn0019890	3	2	E8	broad	inverse_hourglass
FBgn0019932	1	1	E1	broad	hourglass
FBgn0019938	3	1	E3	E3	inverse_hourglass
FBgn0019949	4	5	E1	E1	late_constraint
FBgn0019960	3	5	E6	broad	inverse_hourglass
FBgn0019968	2	3	E5	E5	early_constraint
FBgn0019982	6	3	E8	E8	uniform_low
FBgn0019985	5	1	E5	E5	uniform_high
FBgn0020224	4	1	E1	E1	late_constraint
FBgn0020249	6	3	E1	broad	uniform_low
FBgn0020257	5	5	E2	E2	uniform_high
FBgn0020261	3	3	E3	E3	inverse_hourglass
FBgn0020269	3	2	E5	E5	inverse_hourglass
FBgn0020270	4	3	E1	E1	late_constraint
FBgn0020279	3	5	E4	broad	inverse_hourglass
FBgn0020305	2	3	E1	E1	early_constraint
FBgn0020306	5	4	E1	broad	uniform_high
FBgn0020309	3	2	E3	E3	inverse_hourglass
FBgn0020312	2	3	E2	E2	early_constraint
FBgn0020369	5	5	E2	broad	uniform_high
FBgn0020370	3	2	E1	broad	inverse_hourglass
FBgn0020372	2	4	E7	E7	early_constraint
FBgn0020377	4	1	E2	E2	late_constraint
FBgn0020385	2	4	E8	E8	early_constraint
FBgn0020386	1	1	E1	broad	hourglass
FBgn0020388	6	1	E1	broad	uniform_low
FBgn0020407	4	2	E1	E1	late_constraint
FBgn0020412	3	2	E4	broad	inverse_hourglass
FBgn0020414	6	5	E8	E8	uniform_low
FBgn0020416	2	4	E8	E8	early_constraint
FBgn0020443	1	3	E4	broad	hourglass
FBgn0020493	3	4	E3	E3	inverse_hourglass
FBgn0020503	5	3	E6	broad	uniform_high
FBgn0020510	3	2	E3	broad	inverse_hourglass
FBgn0020513	1	1	E7	E7	hourglass
FBgn0020521	3	2	E6	E6	inverse_hourglass
FBgn0020545	6	1	E8	broad	uniform_low
FBgn0020620	1	4	E1	E1	hourglass
FBgn0020633	6	5	E2	E2	uniform_low
FBgn0020639	2	4	E6	E6	early_constraint
FBgn0020645	2	4	E7	E7	early_constraint
FBgn0020647	3	5	E8	E8	inverse_hourglass
FBgn0020655	6	2	E1	broad	uniform_low
FBgn0020762	3	4	E5	E5	inverse_hourglass
FBgn0020764	1	1	E6	E6	hourglass
FBgn0020767	3	5	E4	broad	inverse_hourglass
FBgn0020887	6	2	E2	E2	uniform_low
FBgn0020909	6	1	E1	E1	uniform_low
FBgn0020930	6	1	E1	broad	uniform_low
FBgn0021760	6	3	E8	broad	uniform_low
FBgn0021761	4	1	E2	E2	late_constraint
FBgn0021800	5	5	E8	E8	uniform_high
FBgn0021814	1	1	E2	broad	hourglass
FBgn0021856	4	1	E1	broad	late_constraint
FBgn0021874	5	3	E3	E3	uniform_high
FBgn0021875	6	5	E2	E2	uniform_low
FBgn0021895	3	2	E2	E2	inverse_hourglass
FBgn0021944	1	3	E4	E4	hourglass
FBgn0021979	6	3	E1	broad	uniform_low
FBgn0021995	4	2	E1	broad	late_constraint
FBgn0022027	6	1	E2	broad	uniform_low
FBgn0022029	4	5	E3	broad	late_constraint
FBgn0022069	5	3	E2	broad	uniform_high
FBgn0022153	5	4	E4	E4	uniform_high
FBgn0022213	5	5	E2	E2	uniform_high
FBgn0022224	1	3	E2	E2	hourglass
FBgn0022288	2	4	E1	broad	early_constraint
FBgn0022338	1	1	E1	E1	hourglass
FBgn0022343	6	1	E3	broad	uniform_low
FBgn0022344	6	2	E7	broad	uniform_low
FBgn0022349	6	5	E2	E2	uniform_low
FBgn0022359	5	4	E8	E8	uniform_high
FBgn0022361	2	4	E1	E1	early_constraint
FBgn0022382	3	3	E6	E6	inverse_hourglass
FBgn0022699	3	2	E3	broad	inverse_hourglass
FBgn0022702	4	5	E6	E6	late_constraint
FBgn0022724	1	5	E2	E2	hourglass
FBgn0022768	4	5	E4	broad	late_constraint
FBgn0022774	3	3	E7	E7	inverse_hourglass
FBgn0022936	1	1	E2	E2	hourglass
FBgn0022942	5	2	E1	E1	uniform_high
FBgn0022981	6	2	E1	E1	uniform_low
FBgn0022984	1	1	E1	broad	hourglass
FBgn0022985	3	2	E1	broad	inverse_hourglass
FBgn0022986	1	1	E1	E1	hourglass
FBgn0022987	1	1	E1	E1	hourglass
FBgn0023000	5	2	E1	E1	uniform_high
FBgn0023081	3	3	E3	E3	inverse_hourglass
FBgn0023095	3	2	E6	E6	inverse_hourglass
FBgn0023129	6	5	E2	broad	uniform_low
FBgn0023167	4	3	E2	E2	late_constraint
FBgn0023169	3	2	E6	broad	inverse_hourglass
FBgn0023171	4	2	E1	E1	late_constraint
FBgn0023172	4	5	E8	broad	late_constraint
FBgn0023177	4	5	E2	E2	late_constraint
FBgn0023180	4	2	E2	E2	late_constraint
FBgn0023212	6	3	E1	E1	uniform_low
FBgn0023213	5	5	E4	broad	uniform_high
FBgn0023214	2	4	E2	E2	early_constraint
FBgn0023215	5	2	E4	E4	uniform_high
FBgn0023216	4	1	E1	E1	late_constraint
FBgn0023388	3	3	E4	broad	inverse_hourglass
FBgn0023407	3	2	E1	E1	inverse_hourglass
FBgn0023416	3	5	E8	E8	inverse_hourglass
FBgn0023441	3	2	E4	E4	inverse_hourglass
FBgn0023458	6	3	E8	E8	uniform_low
FBgn0023479	4	5	E8	E8	late_constraint
FBgn0023506	4	1	E1	E1	late_constraint
FBgn0023507	2	2	E8	E8	early_constraint
FBgn0023508	3	2	E6	E6	inverse_hourglass
FBgn0023511	1	1	E1	E1	hourglass
FBgn0023512	2	2	E3	E3	early_constraint
FBgn0023514	6	3	E1	E1	uniform_low
FBgn0023517	6	4	E1	E1	uniform_low
FBgn0023519	2	4	E1	broad	early_constraint
FBgn0023520	3	2	E1	E1	inverse_hourglass
FBgn0023521	6	2	E1	E1	uniform_low
FBgn0023526	5	5	E5	broad	uniform_high
FBgn0023527	1	3	E1	broad	hourglass
FBgn0023528	6	2	E1	E1	uniform_low
FBgn0023529	3	3	E4	E4	inverse_hourglass
FBgn0023530	6	1	E7	E7	uniform_low
FBgn0023535	2	4	E6	E6	early_constraint
FBgn0023536	1	1	E6	E6	hourglass
FBgn0023540	5	1	E7	E7	uniform_high
FBgn0024187	6	1	E6	broad	uniform_low
FBgn0024189	3	2	E3	E3	inverse_hourglass
FBgn0024222	5	1	E8	broad	uniform_high
FBgn0024227	4	2	E1	E1	late_constraint
FBgn0024234	4	5	E2	E2	late_constraint
FBgn0024236	4	3	E5	broad	late_constraint
FBgn0024245	4	5	E2	E2	late_constraint
FBgn0024248	4	1	E6	E6	late_constraint
FBgn0024273	4	2	E6	E6	late_constraint
FBgn0024277	3	3	E4	broad	inverse_hourglass
FBgn0024285	6	1	E2	broad	uniform_low
FBgn0024289	5	4	E7	E7	uniform_high
FBgn0024291	6	1	E2	broad	uniform_low
FBgn0024315	2	4	E7	E7	early_constraint
FBgn0024321	5	2	E4	E4	uniform_high
FBgn0024326	5	5	E3	broad	uniform_high
FBgn0024329	3	3	E6	E6	inverse_hourglass
FBgn0024330	4	3	E1	E1	late_constraint
FBgn0024361	2	4	E6	E6	early_constraint
FBgn0024364	5	1	E3	broad	uniform_high
FBgn0024365	5	2	E6	broad	uniform_high
FBgn0024509	1	1	E4	broad	hourglass
FBgn0024542	3	2	E1	E1	inverse_hourglass
FBgn0024556	1	1	E4	broad	hourglass
FBgn0024558	1	1	E1	E1	hourglass
FBgn0024698	4	2	E1	E1	late_constraint
FBgn0024728	4	2	E3	broad	late_constraint
FBgn0024732	6	3	E1	E1	uniform_low
FBgn0024754	4	2	E4	broad	late_constraint
FBgn0024804	4	2	E1	E1	late_constraint
FBgn0024833	1	1	E1	E1	hourglass
FBgn0024841	6	2	E7	E7	uniform_low
FBgn0024846	4	5	E6	E6	late_constraint
FBgn0024889	1	3	E1	E1	hourglass
FBgn0024909	6	3	E1	E1	uniform_low
FBgn0024912	4	1	E1	E1	late_constraint
FBgn0024920	1	1	E2	E2	hourglass
FBgn0024945	4	5	E1	E1	late_constraint
FBgn0024947	2	4	E8	broad	early_constraint
FBgn0024956	6	1	E2	E2	uniform_low
FBgn0024957	1	3	E8	E8	hourglass
FBgn0024958	6	3	E4	broad	uniform_low
FBgn0024973	5	1	E4	E4	uniform_high
FBgn0024984	6	1	E1	E1	uniform_low
FBgn0024986	4	2	E1	broad	late_constraint
FBgn0024987	2	4	E3	broad	early_constraint
FBgn0024989	3	2	E5	E5	inverse_hourglass
FBgn0024992	5	2	E5	E5	uniform_high
FBgn0024998	1	3	E3	E3	hourglass
FBgn0025109	1	3	E2	E2	hourglass
FBgn0025185	5	1	E2	E2	uniform_high
FBgn0025186	1	5	E3	E3	hourglass
FBgn0025335	3	2	E5	broad	inverse_hourglass
FBgn0025336	5	5	E7	broad	uniform_high
FBgn0025352	6	4	E6	E6	uniform_low
FBgn0025373	5	1	E2	E2	uniform_high
FBgn0025394	4	3	E1	broad	late_constraint
FBgn0025455	5	5	E4	broad	uniform_high
FBgn0025457	4	1	E1	E1	late_constraint
FBgn0025469	1	1	E2	E2	hourglass
FBgn0025519	4	5	E1	E1	late_constraint
FBgn0025525	3	2	E3	E3	inverse_hourglass
FBgn0025571	4	2	E1	broad	late_constraint
FBgn0025574	4	2	E4	E4	late_constraint
FBgn0025592	2	4	E7	E7	early_constraint
FBgn0025608	6	3	E1	broad	uniform_low
FBgn0025615	1	1	E1	E1	hourglass
FBgn0025624	5	2	E8	E8	uniform_high
FBgn0025626	2	1	E1	E1	early_constraint
FBgn0025628	3	3	E6	E6	inverse_hourglass
FBgn0025632	4	2	E4	E4	late_constraint
FBgn0025633	1	3	E2	E2	hourglass
FBgn0025634	3	5	E3	broad	inverse_hourglass
FBgn0025635	6	3	E1	E1	uniform_low
FBgn0025639	3	5	E3	broad	inverse_hourglass
FBgn0025640	2	4	E6	broad	early_constraint
FBgn0025641	3	2	E4	E4	inverse_hourglass
FBgn0025643	2	4	E6	E6	early_constraint
FBgn0025676	1	4	E1	E1	hourglass
FBgn0025681	3	5	E6	broad	inverse_hourglass
FBgn0025683	6	5	E6	E6	uniform_low
FBgn0025684	4	1	E4	E4	late_constraint
FBgn0025687	2	4	E7	E7	early_constraint
FBgn0025712	5	2	E3	E3	uniform_high
FBgn0025724	5	1	E4	broad	uniform_high
FBgn0025725	3	5	E4	E4	inverse_hourglass
FBgn0025726	2	4	E8	broad	early_constraint
FBgn0025740	6	5	E2	E2	uniform_low
FBgn0025741	3	2	E1	broad	inverse_hourglass
FBgn0025743	4	2	E1	E1	late_constraint
FBgn0025777	4	2	E1	E1	late_constraint
FBgn0025790	6	3	E3	broad	uniform_low
FBgn0025808	5	1	E1	E1	uniform_high
FBgn0025809	4	4	E1	E1	late_constraint
FBgn0025815	6	2	E2	E2	uniform_low
FBgn0025820	1	5	E1	E1	hourglass
FBgn0025836	4	5	E1	broad	late_constraint
FBgn0025839	6	4	E7	broad	uniform_low
FBgn0025864	3	5	E1	E1	inverse_hourglass
FBgn0025865	2	3	E3	broad	early_constraint
FBgn0025936	4	5	E3	broad	late_constraint
FBgn0026015	4	5	E3	E3	late_constraint
FBgn0026056	5	1	E6	E6	uniform_high
FBgn0026059	5	2	E3	broad	uniform_high
FBgn0026061	4	5	E6	broad	late_constraint
FBgn0026079	5	3	E4	E4	uniform_high
FBgn0026083	3	2	E1	broad	inverse_hourglass
FBgn0026085	4	1	E1	E1	late_constraint
FBgn0026086	1	1	E1	E1	hourglass
FBgn0026088	6	1	E7	broad	uniform_low
FBgn0026089	3	2	E2	broad	inverse_hourglass
FBgn0026143	4	5	E2	E2	late_constraint
FBgn0026147	5	1	E2	broad	uniform_high
FBgn0026149	6	1	E1	E1	uniform_low
FBgn0026150	2	4	E1	E1	early_constraint
FBgn0026160	3	5	E4	broad	inverse_hourglass
FBgn0026179	1	1	E2	broad	hourglass
FBgn0026181	4	3	E4	broad	late_constraint
FBgn0026192	4	2	E1	E1	late_constraint
FBgn0026197	1	1	E8	E8	hourglass
FBgn0026199	5	2	E1	broad	uniform_high
FBgn0026206	3	3	E7	broad	inverse_hourglass
FBgn0026207	1	3	E1	E1	hourglass
FBgn0026239	3	3	E4	E4	inverse_hourglass
FBgn0026252	5	3	E1	E1	uniform_high
FBgn0026257	6	1	E1	E1	uniform_low
FBgn0026259	4	3	E4	broad	late_constraint
FBgn0026261	1	1	E2	broad	hourglass
FBgn0026262	5	5	E3	broad	uniform_high
FBgn0026313	3	5	E1	broad	inverse_hourglass
FBgn0026316	1	1	E1	E1	hourglass
FBgn0026317	4	2	E1	E1	late_constraint
FBgn0026319	1	1	E2	E2	hourglass
FBgn0026323	2	3	E5	broad	early_constraint
FBgn0026324	6	3	E2	E2	uniform_low
FBgn0026361	4	1	E2	E2	late_constraint
FBgn0026369	5	3	E5	broad	uniform_high
FBgn0026370	5	5	E4	broad	uniform_high
FBgn0026371	5	1	E2	E2	uniform_high
FBgn0026373	6	1	E1	E1	uniform_low
FBgn0026375	3	2	E4	broad	inverse_hourglass
FBgn0026376	6	2	E7	broad	uniform_low
FBgn0026378	6	1	E1	broad	uniform_low
FBgn0026379	5	1	E3	broad	uniform_high
FBgn0026402	1	4	E2	E2	hourglass
FBgn0026404	2	4	E1	E1	early_constraint
FBgn0026417	4	1	E1	E1	late_constraint
FBgn0026418	5	3	E3	broad	uniform_high
FBgn0026427	4	2	E2	E2	late_constraint
FBgn0026428	3	2	E6	E6	inverse_hourglass
FBgn0026430	1	5	E2	E2	hourglass
FBgn0026431	4	1	E1	E1	late_constraint
FBgn0026432	4	2	E8	E8	late_constraint
FBgn0026441	3	2	E1	broad	inverse_hourglass
FBgn0026479	3	5	E3	broad	inverse_hourglass
FBgn0026533	6	1	E1	E1	uniform_low
FBgn0026570	3	3	E1	E1	inverse_hourglass
FBgn0026573	3	3	E1	E1	inverse_hourglass
FBgn0026575	3	2	E1	broad	inverse_hourglass
FBgn0026576	1	3	E6	broad	hourglass
FBgn0026577	3	2	E3	broad	inverse_hourglass
FBgn0026582	6	5	E1	E1	uniform_low
FBgn0026597	3	4	E1	E1	inverse_hourglass
FBgn0026619	1	1	E7	broad	hourglass
FBgn0026620	2	4	E4	broad	early_constraint
FBgn0026630	1	5	E2	broad	hourglass
FBgn0026666	4	2	E7	broad	late_constraint
FBgn0026713	4	2	E3	E3	late_constraint
FBgn0026718	1	1	E7	E7	hourglass
FBgn0026721	2	1	E5	E5	early_constraint
FBgn0026722	5	3	E1	E1	uniform_high
FBgn0026737	6	1	E1	E1	uniform_low
FBgn0026738	1	3	E4	E4	hourglass
FBgn0026741	4	1	E1	broad	late_constraint
FBgn0026749	6	1	E2	broad	uniform_low
FBgn0026751	4	5	E1	E1	late_constraint
FBgn0026761	6	1	E4	broad	uniform_low
FBgn0026787	1	3	E8	broad	hourglass
FBgn0026869	5	3	E4	E4	uniform_high
FBgn0026872	6	2	E7	E7	uniform_low
FBgn0026873	4	1	E2	E2	late_constraint
FBgn0027052	1	1	E1	E1	hourglass
FBgn0027070	6	3	E1	E1	uniform_low
FBgn0027073	3	3	E7	E7	inverse_hourglass
FBgn0027074	2	2	E3	E3	early_constraint
FBgn0027079	1	3	E4	E4	hourglass
FBgn0027080	2	1	E1	broad	early_constraint
FBgn0027081	2	4	E1	broad	early_constraint
FBgn0027082	5	1	E1	E1	uniform_high
FBgn0027084	2	3	E1	E1	early_constraint
FBgn0027085	5	4	E4	E4	uniform_high
FBgn0027086	5	4	E1	E1	uniform_high
FBgn0027087	2	3	E6	broad	early_constraint
FBgn0027088	1	1	E3	broad	hourglass
FBgn0027090	5	1	E4	broad	uniform_high
FBgn0027091	4	5	E5	broad	late_constraint
FBgn0027093	6	1	E3	broad	uniform_low
FBgn0027094	2	3	E4	E4	early_constraint
FBgn0027101	4	2	E3	broad	late_constraint
FBgn0027280	4	2	E1	broad	late_constraint
FBgn0027287	6	5	E4	E4	uniform_low
FBgn0027296	3	2	E1	E1	inverse_hourglass
FBgn0027329	1	3	E3	broad	hourglass
FBgn0027334	1	4	E1	broad	hourglass
FBgn0027335	3	3	E4	E4	inverse_hourglass
FBgn0027339	2	2	E7	E7	early_constraint
FBgn0027342	1	1	E3	E3	hourglass
FBgn0027356	6	5	E6	E6	uniform_low
FBgn0027363	3	2	E6	broad	inverse_hourglass
FBgn0027375	5	1	E2	E2	uniform_high
FBgn0027453	1	5	E1	E1	hourglass
FBgn0027492	5	5	E4	broad	uniform_high
FBgn0027494	4	1	E2	E2	late_constraint
FBgn0027495	3	2	E1	E1	inverse_hourglass
FBgn0027496	6	2	E1	broad	uniform_low
FBgn0027497	4	3	E3	E3	late_constraint
FBgn0027499	3	2	E3	broad	inverse_hourglass
FBgn0027504	6	5	E3	broad	uniform_low
FBgn0027506	1	1	E1	E1	hourglass
FBgn0027507	2	4	E1	E1	early_constraint
FBgn0027512	5	1	E5	E5	uniform_high
FBgn0027515	1	3	E5	E5	hourglass
FBgn0027518	5	5	E3	E3	uniform_high
FBgn0027521	4	1	E1	E1	late_constraint
FBgn0027524	6	3	E1	E1	uniform_low
FBgn0027525	6	1	E8	broad	uniform_low
FBgn0027526	4	5	E1	E1	late_constraint
FBgn0027528	2	3	E6	E6	early_constraint
FBgn0027529	5	5	E4	E4	uniform_high
FBgn0027532	6	3	E1	E1	uniform_low
FBgn0027535	1	3	E1	broad	hourglass
FBgn0027537	2	1	E1	E1	early_constraint
FBgn0027539	3	3	E1	broad	inverse_hourglass
FBgn0027548	4	2	E1	E1	late_constraint
FBgn0027549	1	1	E1	broad	hourglass
FBgn0027552	1	5	E7	E7	hourglass
FBgn0027554	1	1	E5	E5	hourglass
FBgn0027558	5	3	E5	E5	uniform_high
FBgn0027560	3	5	E6	E6	inverse_hourglass
FBgn0027561	3	5	E8	broad	inverse_hourglass
FBgn0027564	5	2	E4	E4	uniform_high
FBgn0027565	5	1	E8	broad	uniform_high
FBgn0027567	4	2	E3	E3	late_constraint
FBgn0027568	5	1	E3	broad	uniform_high
FBgn0027570	3	5	E4	E4	inverse_hourglass
FBgn0027572	2	1	E7	E7	early_constraint
FBgn0027582	4	5	E3	broad	late_constraint
FBgn0027583	5	1	E2	E2	uniform_high
FBgn0027587	2	2	E1	E1	early_constraint
FBgn0027588	3	2	E4	broad	inverse_hourglass
FBgn0027594	4	3	E3	broad	late_constraint
FBgn0027597	6	1	E3	broad	uniform_low
FBgn0027598	3	5	E6	broad	inverse_hourglass
FBgn0027599	1	1	E1	E1	hourglass
FBgn0027600	2	4	E6	E6	early_constraint
FBgn0027601	5	3	E4	E4	uniform_high
FBgn0027602	4	1	E3	E3	late_constraint
FBgn0027603	4	5	E1	E1	late_constraint
FBgn0027607	1	1	E3	E3	hourglass
FBgn0027608	5	1	E8	E8	uniform_high
FBgn0027609	3	3	E2	E2	inverse_hourglass
FBgn0027615	1	2	E5	broad	hourglass
FBgn0027616	4	2	E3	E3	late_constraint
FBgn0027620	5	5	E2	E2	uniform_high
FBgn0027621	1	1	E7	E7	hourglass
FBgn0027654	2	2	E8	E8	early_constraint
FBgn0027660	5	5	E2	broad	uniform_high
FBgn0027780	5	1	E5	broad	uniform_high
FBgn0027783	4	5	E2	E2	late_constraint
FBgn0027784	6	1	E1	E1	uniform_low
FBgn0027786	4	5	E7	broad	late_constraint
FBgn0027791	5	5	E4	E4	uniform_high
FBgn0027836	3	2	E3	broad	inverse_hourglass
FBgn0027841	6	2	E1	E1	uniform_low
FBgn0027843	2	4	E8	E8	early_constraint
FBgn0027864	6	4	E1	E1	uniform_low
FBgn0027865	3	3	E1	E1	inverse_hourglass
FBgn0027866	3	2	E1	broad	inverse_hourglass
FBgn0027873	4	2	E1	E1	late_constraint
FBgn0027885	4	2	E2	E2	late_constraint
FBgn0027889	4	5	E1	E1	late_constraint
FBgn0027945	2	3	E2	broad	early_constraint
FBgn0027948	4	2	E2	broad	late_constraint
FBgn0027949	4	2	E2	E2	late_constraint
FBgn0027950	6	2	E2	broad	uniform_low
FBgn0027951	6	5	E1	E1	uniform_low
FBgn0028331	3	2	E4	broad	inverse_hourglass
FBgn0028336	4	2	E6	E6	late_constraint
FBgn0028341	3	2	E1	broad	inverse_hourglass
FBgn0028360	5	3	E2	E2	uniform_high
FBgn0028371	3	3	E6	E6	inverse_hourglass
FBgn0028382	1	5	E2	E2	hourglass
FBgn0028394	1	1	E7	E7	hourglass
FBgn0028397	3	3	E5	E5	inverse_hourglass
FBgn0028399	6	3	E2	broad	uniform_low
FBgn0028400	2	4	E5	E5	early_constraint
FBgn0028406	1	1	E1	E1	hourglass
FBgn0028408	4	2	E1	E1	late_constraint
FBgn0028426	5	3	E2	E2	uniform_high
FBgn0028427	1	1	E6	broad	hourglass
FBgn0028429	6	4	E1	E1	uniform_low
FBgn0028436	2	2	E1	E1	early_constraint
FBgn0028467	5	3	E4	E4	uniform_high
FBgn0028468	6	2	E1	E1	uniform_low
FBgn0028471	5	2	E1	E1	uniform_high
FBgn0028474	4	2	E3	broad	late_constraint
FBgn0028475	5	3	E5	broad	uniform_high
FBgn0028476	1	5	E1	E1	hourglass
FBgn0028479	5	3	E6	E6	uniform_high
FBgn0028487	4	5	E7	E7	late_constraint
FBgn0028490	3	2	E6	E6	inverse_hourglass
FBgn0028497	6	5	E7	E7	uniform_low
FBgn0028500	4	5	E4	E4	late_constraint
FBgn0028507	1	1	E4	broad	hourglass
FBgn0028509	3	2	E8	broad	inverse_hourglass
FBgn0028516	5	5	E4	E4	uniform_high
FBgn0028518	1	3	E7	E7	hourglass
FBgn0028519	3	5	E3	E3	inverse_hourglass
FBgn0028523	5	1	E2	E2	uniform_high
FBgn0028530	2	4	E1	E1	early_constraint
FBgn0028533	2	4	E7	E7	early_constraint
FBgn0028534	2	4	E7	E7	early_constraint
FBgn0028539	6	5	E1	E1	uniform_low
FBgn0028540	3	3	E7	E7	inverse_hourglass
FBgn0028541	3	3	E3	broad	inverse_hourglass
FBgn0028546	1	2	E1	broad	hourglass
FBgn0028550	2	4	E6	E6	early_constraint
FBgn0028552	6	4	E2	E2	uniform_low
FBgn0028554	4	5	E2	E2	late_constraint
FBgn0028563	5	2	E7	E7	uniform_high
FBgn0028573	2	4	E6	E6	early_constraint
FBgn0028579	3	3	E1	E1	inverse_hourglass
FBgn0028646	3	2	E6	E6	inverse_hourglass
FBgn0028648	2	3	E1	broad	early_constraint
FBgn0028664	3	2	E1	E1	inverse_hourglass
FBgn0028670	1	1	E6	E6	hourglass
FBgn0028671	4	2	E8	broad	late_constraint
FBgn0028684	1	3	E2	E2	hourglass
FBgn0028685	4	1	E1	E1	late_constraint
FBgn0028687	6	5	E3	broad	uniform_low
FBgn0028688	1	3	E2	broad	hourglass
FBgn0028690	1	1	E2	broad	hourglass
FBgn0028691	6	1	E2	E2	uniform_low
FBgn0028692	5	3	E4	broad	uniform_high
FBgn0028694	1	1	E2	E2	hourglass
FBgn0028695	4	1	E3	broad	late_constraint
FBgn0028703	5	1	E8	E8	uniform_high
FBgn0028704	2	4	E8	E8	early_constraint
FBgn0028707	4	3	E2	E2	late_constraint
FBgn0028717	3	2	E8	broad	inverse_hourglass
FBgn0028734	3	3	E4	E4	inverse_hourglass
FBgn0028743	2	3	E5	E5	early_constraint
FBgn0028744	6	1	E2	E2	uniform_low
FBgn0028746	1	1	E1	E1	hourglass
FBgn0028836	6	1	E1	E1	uniform_low
FBgn0028894	1	1	E2	E2	hourglass
FBgn0028916	1	5	E6	broad	hourglass
FBgn0028919	3	2	E1	E1	inverse_hourglass
FBgn0028926	6	5	E2	E2	uniform_low
FBgn0028936	2	3	E8	E8	early_constraint
FBgn0028953	3	5	E3	broad	inverse_hourglass
FBgn0028965	1	1	E2	E2	hourglass
FBgn0028968	3	3	E3	broad	inverse_hourglass
FBgn0028970	4	5	E8	broad	late_constraint
FBgn0028978	5	1	E2	broad	uniform_high
FBgn0028983	6	1	E8	broad	uniform_low
FBgn0028984	2	4	E5	E5	early_constraint
FBgn0028990	3	5	E6	broad	inverse_hourglass
FBgn0028992	3	2	E2	E2	inverse_hourglass
FBgn0028999	4	2	E3	E3	late_constraint
