coseq_kmeans	hclust	PrimaryStage	StageBias	Label
FBgn0001974	4	2	E1	E1	late_constraint
FBgn0001978	1	3	E1	broad	hourglass
FBgn0001981	4	5	E3	E3	late_constraint
FBgn0001986	4	4	E1	broad	late_constraint
FBgn0001987	2	1	E3	broad	early_constraint
FBgn0001995	4	5	E1	broad	late_constraint
FBgn0002021	4	5	E3	broad	late_constraint
FBgn0002022	5	5	E1	broad	uniform_high
FBgn0002031	1	1	E7	broad	hourglass
FBgn0002044	3	5	E4	broad	inverse_hourglass
FBgn0002121	5	1	E5	broad	uniform_high
FBgn0002183	6	1	E2	E2	uniform_low
FBgn0002283	1	3	E2	E2	hourglass
FBgn0002306	5	3	E5	E5	uniform_high
FBgn0002354	2	1	E7	broad	early_constraint
FBgn0002431	3	5	E1	E1	inverse_hourglass
FBgn0002441	5	3	E4	E4	uniform_high
FBgn0002521	4	5	E1	broad	late_constraint
FBgn0002524	1	1	E7	broad	hourglass
FBgn0002543	4	1	E2	E2	late_constraint
FBgn0002567	1	1	E1	E1	hourglass
FBgn0002570	2	4	E6	E6	early_constraint
FBgn0002592	6	3	E2	E2	uniform_low
FBgn0002638	6	2	E1	E1	uniform_low
FBgn0002641	5	1	E1	E1	uniform_high
FBgn0002643	4	2	E4	E4	late_constraint
FBgn0002645	4	1	E1	broad	late_constraint
FBgn0002715	4	1	E1	E1	late_constraint
FBgn0002733	3	2	E3	E3	inverse_hourglass
FBgn0002734	4	2	E2	E2	late_constraint
FBgn0002774	3	3	E2	broad	inverse_hourglass
FBgn0002778	4	1	E1	broad	late_constraint
FBgn0002781	6	5	E1	E1	uniform_low
FBgn0002787	4	1	E2	E2	late_constraint
FBgn0002791	4	3	E1	E1	late_constraint
FBgn0002914	5	3	E1	broad	uniform_high
FBgn0002924	4	3	E1	E1	late_constraint
FBgn0002973	4	2	E3	broad	late_constraint
FBgn0002985	1	5	E2	E2	hourglass
FBgn0003008	5	2	E1	E1	uniform_high
FBgn0003016	3	5	E4	E4	inverse_hourglass
FBgn0003028	5	5	E3	E3	uniform_high
FBgn0003041	1	1	E2	E2	hourglass
FBgn0003042	6	3	E2	E2	uniform_low
FBgn0003044	4	3	E2	E2	late_constraint
FBgn0003053	5	2	E4	E4	uniform_high
FBgn0003062	3	2	E3	broad	inverse_hourglass
FBgn0003071	3	2	E6	E6	inverse_hourglass
FBgn0003074	3	2	E6	E6	inverse_hourglass
FBgn0003076	3	5	E7	E7	inverse_hourglass
FBgn0003079	3	3	E1	broad	inverse_hourglass
FBgn0003090	4	2	E4	E4	late_constraint
FBgn0003093	3	3	E6	E6	inverse_hourglass
FBgn0003114	6	1	E1	E1	uniform_low
FBgn0003116	5	5	E1	E1	uniform_high
FBgn0003118	5	3	E2	broad	uniform_high
FBgn0003134	4	2	E1	broad	late_constraint
FBgn0003139	1	1	E1	E1	hourglass
FBgn0003141	6	1	E1	broad	uniform_low
FBgn0003162	3	3	E8	E8	inverse_hourglass
FBgn0003165	3	5	E5	broad	inverse_hourglass
FBgn0003169	1	5	E1	E1	hourglass
FBgn0003189	5	3	E6	broad	uniform_high
FBgn0003204	5	2	E3	broad	uniform_high
FBgn0003205	2	2	E1	E1	early_constraint
FBgn0003210	4	5	E1	E1	late_constraint
FBgn0003218	3	4	E8	E8	inverse_hourglass
FBgn0003231	1	1	E1	E1	hourglass
FBgn0003256	6	1	E1	E1	uniform_low
FBgn0003257	6	4	E8	broad	uniform_low
FBgn0003278	4	3	E3	broad	late_constraint
FBgn0003302	1	5	E2	E2	hourglass
FBgn0003310	5	3	E2	E2	uniform_high
FBgn0003321	5	2	E3	broad	uniform_high
FBgn0003334	1	3	E4	E4	hourglass
FBgn0003345	5	2	E3	E3	uniform_high
FBgn0003346	4	5	E2	E2	late_constraint
FBgn0003356	2	4	E7	E7	early_constraint
FBgn0003357	2	4	E7	E7	early_constraint
FBgn0003371	5	2	E1	broad	uniform_high
FBgn0003380	3	4	E7	E7	inverse_hourglass
FBgn0003390	5	3	E8	E8	uniform_high
FBgn0003391	4	5	E2	E2	late_constraint
FBgn0003392	4	1	E5	broad	late_constraint
FBgn0003396	1	4	E8	broad	hourglass
FBgn0003410	6	1	E1	E1	uniform_low
FBgn0003415	4	5	E3	broad	late_constraint
FBgn0003416	5	2	E1	E1	uniform_high
FBgn0003430	4	1	E2	E2	late_constraint
FBgn0003447	4	5	E3	E3	late_constraint
FBgn0003448	1	1	E2	E2	hourglass
FBgn0003459	4	2	E1	E1	late_constraint
FBgn0003464	3	2	E6	broad	inverse_hourglass
FBgn0003475	5	1	E5	E5	uniform_high
FBgn0003479	1	1	E2	E2	hourglass
FBgn0003495	5	5	E5	E5	uniform_high
FBgn0003507	4	5	E3	E3	late_constraint
FBgn0003512	4	5	E1	broad	late_constraint
FBgn0003520	5	2	E3	broad	uniform_high
FBgn0003557	1	3	E3	E3	hourglass
FBgn0003559	4	3	E2	E2	late_constraint
FBgn0003567	6	2	E1	E1	uniform_low
FBgn0003575	1	3	E3	broad	hourglass
FBgn0003612	6	2	E1	E1	uniform_low
FBgn0003638	6	3	E1	E1	uniform_low
FBgn0003654	4	1	E6	E6	late_constraint
FBgn0003656	4	2	E6	broad	late_constraint
FBgn0003676	1	5	E3	broad	hourglass
FBgn0003687	1	1	E2	E2	hourglass
FBgn0003716	6	5	E3	broad	uniform_low
FBgn0003731	5	5	E2	E2	uniform_high
FBgn0003741	6	3	E2	E2	uniform_low
FBgn0003742	1	3	E2	E2	hourglass
